hhid,mrt24mnth,mrtdod_m1,mrtdod_y1,mrtdod_m2,mrtdod_y2,toishr,enrgelec,refrem,empl,rent,grn,tinc,ownrad,ownhif,owntel,ownsat,ownvid,owncom,owncam,owncel,ownelestv,owngasstv,ownparstv,ownmic,ownfrg,ownwsh,ownvehpri,mrtage1,mrtage2,dwltyp,watsrc,watdis,toi,enrgck,enrght,enrglght,tinc_brac1,tinc_brac2,tinc_brac3,tinc_brac4,tinc_brac5,tinc_brac6,tellnd,prov,geo
500075,Yes,November,2016.0,,,No,Yes,No,No,No,Yes,2360.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,78.0,,,3.0,2.0,5.0,5.0,5.0,1.0,,,,,,,3.0,5.0,2
500076,No,,,,,No,Yes,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,,1.0,,1.0,1.0,3.0,7.0,3
500077,No,,,,,Yes,Yes,Yes,Yes,No,No,3500.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,7.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500078,No,,,,,Yes,Yes,Yes,No,No,No,3800.0,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,,,7.0,1.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500079,No,,,,,Yes,Yes,Yes,Yes,No,No,2100.0,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,6.0,1.0,,4.0,1.0,1.0,1.0,,,,,,,3.0,6.0,3
500081,No,,,,,No,Yes,No,No,No,Yes,4200.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,1.0,1
500082,No,,,,,No,Yes,No,Yes,No,No,1000.0,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,2.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,8.0,2
500083,No,,,,,Yes,Yes,Yes,No,No,No,0.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,,3.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,5.0,2
500084,Yes,September,2015.0,,,No,Yes,No,No,No,Yes,1600.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,3.0,1.0,5.0,5.0,1.0,1.0,,,,,,,3.0,8.0,2
500085,No,,,,,No,Yes,Yes,Yes,Yes,No,18000.0,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,,,1.0,1.0,,2.0,3.0,3.0,1.0,,,,,,,1.0,7.0,3
500087,No,,,,,No,No,No,No,No,Yes,1980.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,7.0,5.0,,3.0,1.0,1.0,1.0,,,,,,,3.0,3.0,1
500088,No,,,,,No,Yes,Yes,Yes,No,No,14000.0,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,3.0,3
500089,Yes,July,2016.0,,,No,Yes,No,No,No,Yes,760.0,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,3.0,5.0,5.0,5.0,1.0,1.0,,,,,,,3.0,9.0,2
500090,No,,,,,No,Yes,No,Yes,No,Yes,4500.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,,,1.0,3.0,1.0,5.0,1.0,1.0,1.0,,,,,,,3.0,8.0,2
500092,No,,,,,Yes,Yes,Yes,Yes,No,No,1750.0,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,,,6.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500094,No,,,,,No,Yes,Yes,Yes,No,No,14900.0,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,1.0,1.0,,1.0,1.0,4.0,1.0,,,,,,,3.0,5.0,3
500095,No,,,,,No,Yes,No,No,No,No,5000.0,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500096,No,,,,,No,Yes,Yes,No,No,Yes,2000.0,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,,,,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,7.0,3
500097,No,,,,,Yes,Yes,Yes,Yes,No,No,9023.0,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,,,3.0,2.0,,2.0,1.0,1.0,1.0,,,,,,,3.0,2.0,3
500098,No,,,,,Yes,Yes,Yes,Yes,No,No,5500.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,,,9.0,1.0,,5.0,1.0,1.0,1.0,,,,,,,3.0,7.0,2
500099,No,,,,,No,No,No,No,No,Yes,4500.0,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,,3.0,6.0,5.0,5.0,5.0,6.0,7.0,,,,,,,3.0,5.0,1
500100,No,,,,,Yes,Yes,Yes,Yes,No,No,3000.0,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
500101,No,,,,,No,Yes,No,No,No,Yes,1500.0,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,,,1.0,3.0,1.0,4.0,5.0,5.0,1.0,,,,,,,3.0,2.0,2
500102,No,,,,,No,Yes,Yes,Yes,No,Yes,11000.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,,,6.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,4.0,3
500104,Yes,September,2017.0,,,No,Yes,Yes,Yes,No,No,0.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,76.0,,1.0,1.0,,2.0,3.0,1.0,1.0,,,,,,,3.0,8.0,3
500105,No,,,,,No,Yes,Yes,Yes,No,No,6000.0,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,,,,1.0,,1.0,3.0,11.0,1.0,,,,,,,3.0,1.0,3
500106,No,,,,,No,Yes,Yes,Yes,No,Yes,3870.0,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,1
500108,No,,,,,No,Yes,Yes,No,No,Yes,1500.0,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,3.0,1.0,3
500109,No,,,,,Yes,Yes,No,Yes,No,No,,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,3.0,1.0,5.0,1.0,1.0,1.0,3.0,2.0,,,,,1.0,2.0,2
500110,No,,,,,No,Yes,Yes,Yes,No,Yes,5700.0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,,,1.0,1.0,,2.0,1.0,11.0,1.0,,,,,,,3.0,7.0,3
500111,No,,,,,No,Yes,Yes,No,No,Yes,1500.0,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,,,1.0,1.0,,2.0,1.0,4.0,1.0,,,,,,,3.0,2.0,3
